GAME,BlackElo,BlackRatingDiff,Date,ECO,Event,Opening,White_Result,Black_Result,Result,Site,Termination,TimeControl,UTCTime,WhiteElo,WhiteRatingDiff,Black_elo_category,White_elo_category,starting_time,increment,Game_type,Total_moves,Black_blunders,White_blunders,Black_mistakes,White_mistakes,Black_inaccuracies,White_inaccuracies,Black_inferior_moves,White_inferior_moves,Black_ts_moves,White_ts_moves,Black_ts_blunders,White_ts_blunders,Black_ts_mistakes,White_ts_mistake,Black_long_moves,White_long_moves,Black_bad_long_moves,White_bad_long_moves,Game_flips,Game_flips_ts
67747,1408,-5,2020.09.01,D01,Rated Rapid game,"Queen's Pawn Game: Veresov Attack, Classical Defense",1,0,Jan-00,https://lichess.org/ZNCdTeKw,Normal,300+5,0:59:44,1497,21,Low rating,Low rating,300,5,Blitz,37,4,1,5,5,3,4,12,10,0,0,0,0,0,0,0,2,0,2,7,0
67748,1588,-6,2020.09.01,C64,Rated Rapid game,Ruy Lopez: Classical Variation,1,0,Jan-00,https://lichess.org/e4RaazBQ,Normal,600+0,0:59:45,1577,7,Low rating,Low rating,600,0,Rapid,23,0,0,3,1,0,1,3,2,0,0,0,0,0,0,0,0,0,0,4,0
67750,2291,6,2020.09.01,D00,Rated Rapid game,Queen's Pawn Game: Levitsky Attack,0,1,0-1,https://lichess.org/G4ISTNUh,Normal,600+0,0:59:45,2312,-10,High rating,High rating,600,0,Rapid,78,1,3,1,2,4,4,6,9,0,0,0,0,0,0,0,0,0,0,3,0
67759,2065,-4,2020.09.01,B12,Rated Blitz game,"Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense",1,0,Jan-00,https://lichess.org/6cn7w8NW,Normal,300+0,0:59:45,2149,5,High rating,High rating,300,0,Blitz,93,2,1,6,10,4,3,12,14,0,0,0,0,0,0,1,0,1,0,13,0
67787,2040,-6,2020.09.01,A57,Rated Rapid game,Benko Gambit,1,0,Jan-00,https://lichess.org/q72TQZy1,Normal,600+5,0:59:48,2036,44,High rating,High rating,600,5,Rapid,53,0,0,4,0,2,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0
67870,1474,-5,2020.09.01,C00,Rated Rapid game,French Defense: Two Knights Variation,1,0,Jan-00,https://lichess.org/39yQlLZE,Normal,900+10,0:59:51,1540,8,Low rating,Low rating,900,10,Rapid,125,10,8,3,5,7,5,20,18,8,0,0,0,0,0,1,0,1,0,14,0
67899,2097,-9,2020.09.01,B50,Rated Rapid game,Sicilian Defense,1,0,Jan-00,https://lichess.org/Y1rJevcN,Normal,300+5,0:59:54,1909,9,High rating,High rating,300,5,Blitz,169,6,4,3,1,10,4,19,9,2,11,0,0,0,0,3,3,0,1,5,0
67907,1274,-5,2020.09.01,B01,Rated Blitz game,Scandinavian Defense: Blackburne-Kloosterboer Gambit,1,0,Jan-00,https://lichess.org/4aGiCY2P,Normal,300+3,0:59:54,1302,6,Low rating,Low rating,300,3,Blitz,45,3,1,2,6,2,1,7,8,0,0,0,0,0,0,0,2,0,1,7,0
67942,1510,-6,2020.09.01,B10,Rated Blitz game,Caro-Kann Defense,1,0,Jan-00,https://lichess.org/Hr48DSY5,Normal,300+0,0:59:57,1476,7,Low rating,Low rating,300,0,Blitz,45,1,0,5,5,2,1,8,6,0,0,0,0,0,0,1,0,1,0,3,0
67955,1861,-9,2020.09.01,A06,Rated Bullet game,Zukertort Opening: Tennison Gambit,1,0,Jan-00,https://lichess.org/qIeT4DXt,Normal,60+0,0:59:58,1909,5,Low rating,High rating,60,0,Bullet,69,3,1,5,6,7,4,15,11,1,0,0,0,0,0,0,1,0,0,11,0
